source_labware,dest_labware,num_samples,repeat,computed_run_time,name
12,12,20,0,25,1.csv
12,12,40,0,58,2.csv
12,12,80,0,104,3.csv
12,12,20,1,30,4.csv
12,12,40,1,56,5.csv
12,12,80,1,106,6.csv
12,12,20,2,27,7.csv
12,12,40,2,56,8.csv
12,12,80,2,99,9.csv
24,24,50,0,71,1.csv
24,24,100,0,149,2.csv
24,24,200,0,288,3.csv
24,24,400,0,509,4.csv
24,24,50,1,69,5.csv
24,24,100,1,148,6.csv
24,24,200,1,282,7.csv
24,24,400,1,507,8.csv
24,24,50,2,69,9.csv
24,24,100,2,147,10.csv
24,24,200,2,296,11.csv
24,24,400,2,502,12.csv
96,96,100,0,147,1.csv
96,96,200,0,290,2.csv
96,96,400,0,619,3.csv
96,96,800,0,1269,4.csv
96,96,1600,0,2524,5.csv
96,96,100,1,141,6.csv
96,96,200,1,285,7.csv
96,96,400,1,613,8.csv
96,96,800,1,1272,9.csv
96,96,1600,1,2525,10.csv
96,96,100,2,135,11.csv
96,96,200,2,297,12.csv
96,96,400,2,611,13.csv
96,96,800,2,1270,14.csv
96,96,1600,2,2532,15.csv
384,384,200,0,320,1.csv
384,384,400,0,658,2.csv
384,384,800,0,1373,3.csv
384,384,1600,0,2783,4.csv
384,384,2400,0,4156,5.csv
384,384,200,1,319,6.csv
384,384,400,1,659,7.csv
384,384,800,1,1369,8.csv
384,384,1600,1,2785,9.csv
384,384,2400,1,4170,10.csv
384,384,200,2,323,11.csv
384,384,400,2,658,12.csv
384,384,800,2,1367,13.csv
384,384,1600,2,2782,14.csv
384,384,2400,2,4163,15.csv
